Study,Assay,Item,Neut,Efficacy
Feng,Pseudo,mean,2.912547177,59.10891089
Feng,Pseudo,mean,3.376870442,60.89108911
Feng,Pseudo,mean,4.81608153,64.85148515
Feng,Pseudo,mean,6.285334627,67.42574257
Feng,Pseudo,mean,8.449115831,70.3960396
Feng,Pseudo,mean,10.39319955,72.37623762
Feng,Pseudo,mean,13.16847713,74.35643564
Feng,Pseudo,mean,15.96060731,76.13861386
Feng,Pseudo,mean,21.77491234,78.51485149
Feng,Pseudo,mean,47.69095222,84.25742574
Feng,Pseudo,mean,55.29392558,85.24752475
Feng,Pseudo,mean,81.22788428,87.42574257
Feng,Pseudo,mean,134.3154598,89.8019802
Feng,Pseudo,mean,212.4586589,91.58415842
Feng,Pseudo,mean,321.4773943,92.97029703
Feng,Pseudo,mean,555.7042652,94.35643564
Feng,Pseudo,mean,747.0102998,94.95049505
Feng,Pseudo,UB,2.955950191,82.47524752
Feng,Pseudo,UB,3.745272309,81.68316832
Feng,Pseudo,UB,4.745365706,81.08910891
Feng,Pseudo,UB,5.03461493,80.89108911
Feng,Pseudo,UB,6.193045364,80.89108911
Feng,Pseudo,UB,6.868679657,81.08910891
Feng,Pseudo,UB,8.202816154,81.28712871
Feng,Pseudo,UB,8.964123598,81.68316832
Feng,Pseudo,UB,10.39319955,82.27722772
Feng,Pseudo,UB,11.19102796,82.67326733
Feng,Pseudo,UB,13.5638769,83.66336634
Feng,Pseudo,UB,14.39065003,84.05940594
Feng,Pseudo,UB,17.18581481,85.04950495
Feng,Pseudo,UB,18.5050747,85.44554455
Feng,Pseudo,UB,21.77491234,86.23762376
Feng,Pseudo,UB,23.79585278,86.83168317
Feng,Pseudo,UB,28.00056832,87.62376238
Feng,Pseudo,UB,30.15001698,88.01980198
Feng,Pseudo,UB,36.54276626,89.00990099
Feng,Pseudo,UB,38.77019559,89.40594059
Feng,Pseudo,UB,44.95100664,90.1980198
Feng,Pseudo,UB,49.1229319,90.79207921
Feng,Pseudo,UB,56.95419393,91.78217822
Feng,Pseudo,UB,61.32625219,92.17821782
Feng,Pseudo,UB,74.32934119,93.56435644
Feng,Pseudo,UB,81.22788428,94.15841584
Feng,Pseudo,UB,91.43201382,94.95049505
Feng,Pseudo,UB,99.91786446,95.54455446
Feng,Pseudo,UB,119.3253891,96.53465347
Feng,Pseudo,UB,128.4853388,96.93069307
Feng,Pseudo,UB,153.4416606,97.72277228
Feng,Pseudo,UB,167.6826574,97.92079208
Feng,Pseudo,UB,200.2524618,98.51485149
Feng,Pseudo,UB,215.624735,98.71287129
Feng,Pseudo,UB,261.3439421,99.10891089
Feng,Pseudo,UB,356.5491787,99.5049505
Feng,Pseudo,UB,458.4900036,99.7029703
Feng,Pseudo,UB,747.0102998,99.9009901
Feng,Pseudo,LB,4.215766452,40.4950495
Feng,Pseudo,LB,4.407060093,41.68316832
Feng,Pseudo,LB,4.745365706,43.86138614
Feng,Pseudo,LB,4.887851167,44.85148515
Feng,Pseudo,LB,5.341495063,47.22772277
Feng,Pseudo,LB,5.583869505,48.21782178
Feng,Pseudo,LB,6.102111209,50.3960396
Feng,Pseudo,LB,6.378999193,51.38613861
Feng,Pseudo,LB,6.868679657,52.97029703
Feng,Pseudo,LB,7.28735345,54.15841584
Feng,Pseudo,LB,7.963696345,55.74257426
Feng,Pseudo,LB,8.575025239,56.73267327
Feng,Pseudo,LB,9.510523169,58.31683168
Feng,Pseudo,LB,10.39319955,59.30693069
Feng,Pseudo,LB,11.69882945,60.69306931
Feng,Pseudo,LB,12.78460363,61.48514851
Feng,Pseudo,LB,14.39065003,62.67326733
Feng,Pseudo,LB,15.49534059,63.66336634
Feng,Pseudo,LB,17.44191921,65.04950495
Feng,Pseudo,LB,19.0607124,66.03960396
Feng,Pseudo,LB,21.77491234,67.62376238
Feng,Pseudo,LB,23.10218128,68.41584158
Feng,Pseudo,LB,26.0043577,70
Feng,Pseudo,LB,27.18432541,70.59405941
Feng,Pseudo,LB,31.51809717,72.17821782
Feng,Pseudo,LB,33.93756706,73.16831683
Feng,Pseudo,LB,38.77019559,74.55445545
Feng,Pseudo,LB,42.36847671,75.34653465
Feng,Pseudo,LB,48.40164665,76.33663366
Feng,Pseudo,LB,52.11717319,76.93069307
Feng,Pseudo,LB,62.24014097,77.92079208
Feng,Pseudo,LB,67.01797213,78.31683168
Feng,Pseudo,LB,81.22788428,78.91089109
Feng,Pseudo,LB,88.76668459,79.10891089
Feng,Pseudo,LB,104.4517143,79.5049505
Feng,Pseudo,LB,136.3170396,79.7029703
Feng,Pseudo,LB,170.1814779,79.30693069
Feng,Pseudo,LB,225.4088731,78.91089109
Feng,Pseudo,LB,246.3291826,78.71287129
Feng,Pseudo,LB,289.8554286,78.31683168
Feng,Pseudo,LB,367.2550078,77.72277228
Feng,Pseudo,LB,389.6406852,77.32673267
Feng,Pseudo,LB,472.2567317,76.53465347
Feng,Pseudo,LB,508.5092674,76.33663366
Feng,Pseudo,LB,625.5137691,75.34653465
